11-1011,Chief Executives,"Determine and formulate policies and provide overall direction of companies or private and public sector organizations within guidelines set up by a board of directors or similar governing body. Plan, direct, or coordinate operational activities at the highest level of management with the help of subordinate executives and staff managers."
11-1021,General and Operations Managers,"Plan, direct, or coordinate the operations of public or private sector organizations, overseeing multiple departments or locations. Duties and responsibilities include formulating policies, managing daily operations, and planning the use of materials and human resources, but are too diverse and general in nature to be classified in any one functional area of management or administration, such as personnel, purchasing, or administrative services. Usually manage through subordinate supervisors. Excludes First-Line Supervisors."
11-1031,Legislators,"Develop, introduce, or enact laws and statutes at the local, tribal, state, or federal level. Includes only workers in elected positions."
11-2011,Advertising and Promotions Managers,"Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
11-2021,Marketing Managers,"Plan, direct, or coordinate marketing policies and programs, such as determining the demand for products and services offered by a firm and its competitors, and identify potential customers. Develop pricing strategies with the goal of maximizing the firm’s profits or share of the market while ensuring the firm’s customers are satisfied. Oversee product development or monitor trends that indicate the need for new products and services."
11-2022,Sales Managers,"Plan, direct, or coordinate the actual distribution or movement of a product or service to the customer. Coordinate sales distribution by establishing sales territories, quotas, and goals and establish training programs for sales representatives. Analyze sales statistics gathered by staff to determine sales potential and inventory requirements and monitor the preferences of customers."
11-2032,Public Relations Managers,"Plan, direct, or coordinate activities designed to create or maintain a favorable public image or raise issue awareness for their organization or client."
11-2033,Fundraising Managers,"Plan, direct, or coordinate activities to solicit and maintain funds for special projects or nonprofit organizations."
11-3012,Administrative Services Managers,"Plan, direct, or coordinate one or more administrative services of an organization, such as records and information management, mail distribution, and other office support services. Medical records administrators are included in “Medical and Health Services Managers” (11-9111). Excludes “Facilities Managers” (11-3013) and “Purchasing Managers” (11-3061)."
11-3013,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization’s campus. Excludes “Administrative Services Managers” (11-3012), “Property, Real Estate, and Community Association Managers” (11-9141), “First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers” (37-1010), “First-Line Supervisors of Mechanics and Repairers” (49-1011), and “Maintenance and Repair Workers, General” (49-9071)."
11-3021,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming. Excludes “Computer Occupations” (15-1211 through 15-1299)."
11-3031,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment. Excludes “Financial Risk Specialists” (13-2054)."
11-3051,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications."
11-3061,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers."
11-3071,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers."
11-3111,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization. Job analysis and position description managers are included in “Human Resources Managers” (11-3121)."
11-3121,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization. Excludes managers who primarily focus on compensation and benefits (11-3111) and training and development (11-3131)."
11-3131,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization."
11-9013,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities. Excludes “First-Line Supervisors of Farming, Fishing, and Forestry Workers” (45-1011)."
11-9021,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing."
11-9031,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care. Excludes “Preschool Teachers, Except Special Education” (25-2011) and “Childcare Workers” (39-9011)."
11-9032,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools."
11-9033,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges."
11-9039,"Education Administrators, All Other",All education administrators not listed separately.
11-9041,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields. Excludes “Natural Sciences Managers” (11-9121)."
11-9051,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages. Excludes “Chefs and Head Cooks” (35-1011)."
11-9071,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules."
11-9072,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks."
11-9081,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations. Excludes “Food Service Managers” (11-9051) in lodging establishments."
11-9111,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations."
11-9121,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields. Excludes “Computer and Information Systems Managers” (11-3021) and “Architecture and Engineering Managers” (11-9041)."
11-9131,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office."
11-9141,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way)."
11-9151,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization’s budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers."
11-9161,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations."
11-9171,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes. Excludes “Morticians, Undertakers, and Funeral Arrangers” (39-4031)."
11-9179,"Personal Service Managers, All Other","All personal service managers not listed separately. Excludes “Financial Specialists” (13-2000). Daycare Managers are included in Education and Childcare Administrators, Preschool and Daycare (11-9031)."
11-9199,"Managers, All Other",All managers not listed separately.
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients."
13-1021,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts."
13-1022,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products. Excludes “Procurement Clerks” (43-3061)."
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts. Excludes “Buyers and Purchasing Agents, Farm Products” (13-1021) and “Wholesale and Retail Buyers, Except Farm Products” (13-1022)."
13-1031,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims. Excludes “Fire Inspectors and Investigators” (33-2021).
13-1032,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.
13-1041,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere. Excludes “Financial Examiners"" (13-2061), “Tax Examiners and Collectors, and Revenue Agents” (13-2081), “Occupational Health and Safety Specialists” (19-5011), “Occupational Health and Safety Technicians” (19-5012), “Transportation Security Screeners” (33-9093), “Agricultural Inspectors” (45-2011), “Construction and Building Inspectors” (47-4011), and “Transportation Inspectors” (53-6051)."
