Brown & Brown,"Brown & Brown, Inc. (Brown & Brown Insurance) is an insurance brokerage firm, specialising in risk management. Headquartered in Daytona Beach, Florida, Brown & Brown has 450+ locations worldwide.
In 2021 the company ranked as the fifth largest independent insurance brokerage in the U.S. and sixth largest in the world by Business Insurance magazine."
Morgan Stanley,"Morgan Stanley is an American multinational investment bank and financial services company headquartered at 1585 Broadway in Midtown Manhattan, New York City. With offices in 41 countries and more than 75,000 employees, the firm's clients include corporations, governments, institutions, and individuals. Morgan Stanley ranked No. 61 in the 2023 Fortune 500 list of the largest United States corporations by total revenue and in the same year ranked #30 in Forbes Global 2000.
The original Morgan Stanley, formed by J.P. Morgan & Co. partners Henry Sturgis Morgan (a grandson of J.P. Morgan), Harold Stanley, and others, came into existence on September 16, 1935, in response to the Glass–Steagall Act, which required the splitting of American commercial and investment banking businesses. In its first year, the company operated with a 24% market share (US$1.1 billion) in public offerings and private placements.
The current Morgan Stanley is the result of the merger of the original Morgan Stanley with Dean Witter Discover & Co. in 1997. Dean Witter's chairman and CEO, Philip J. Purcell, became the chairman and CEO of the newly merged ""Morgan Stanley Dean Witter Discover & Co."" The new firm changed its name back to ""Morgan Stanley"" in 2001. The main areas of business for the firm today are institutional securities, wealth management and investment management. The bank is considered systemically important by the Financial Stability Board."
Tyson Foods,"Tyson Foods, Inc. is an American multinational corporation based in Springdale, Arkansas that operates in the food industry. The company is the world's second-largest processor and marketer of chicken, beef, and pork after JBS S.A. It annually exports the largest percentage of beef out of the United States. Together with its subsidiaries, it operates major food brands, including Jimmy Dean, Hillshire Farm, Ball Park, Wright Brand, Aidells, and State Fair. Tyson Foods ranked No. 79 in the 2020 Fortune 500 list of the largest United States corporations by total revenue.
Tyson Foods has been involved in a number of controversies related to the environment, animal welfare, and the welfare of their own employees. During the COVID-19 pandemic, Tyson Foods was accused by some employees of failing to implement certain recommended protections, including physical distancing measures, plexiglass barriers and wearing of face masks. Multiple lawsuits have been filed against the company, alleging gross and willful negligence for the spread of COVID-19 at their plants."
Simon Property Group,"Simon Property Group, Inc. is an American real estate investment trust that invests in shopping malls, outlet centers, and community/lifestyle centers. It is the largest owner of shopping malls in the United States and is headquartered in Indianapolis, Indiana. Worldwide, it owns interests in 232 properties as of 2021."
HCA Healthcare,"HCA Healthcare, Inc. is an American for-profit operator of health care facilities that was founded in 1968. It is based in Nashville, Tennessee, and, as of May 2020, owned and operated 186 hospitals and approximately 2,000 sites of care, including surgery centers, freestanding emergency rooms, urgent care centers and physician clinics in 21 states and the United Kingdom. As of 2023, HCA Healthcare is ranked #66 on the Fortune 500 rankings of the largest United States corporations by total revenue.
The company engaged in illegal accounting and other crimes in the 1990s that resulted in the payment of more than $2 billion in federal fines and other penalties, and the dismissal of the CEO Rick Scott by the board of directors."
Linde plc,"Linde plc is a global multinational chemical company founded in Germany and, since 2018, domiciled in Ireland and headquartered in the United Kingdom. Linde is the world's largest industrial gas company by market share and revenue. It serves customers in the healthcare, petroleum refining, manufacturing, food, beverage carbonation, fiber-optics, steel making, aerospace, material handling equipment (MHE), chemicals, electronics and water treatment industries. The company's primary business is the manufacturing and distribution of atmospheric gases, including oxygen, nitrogen, argon, rare gases, and process gases, including carbon dioxide, helium, hydrogen, ammonia, electronic gases, specialty gases, and acetylene.
The company was formed by the 2018 merger of Linde AG of Germany (founded in 1879) and Praxair (founded in 1907 as Linde Air Products Company) of the United States. The resulting holding company was incorporated in Ireland, with principal executive offices in Woking, UK.
The company is a member of the Hydrogen Council, a group of companies investing in hydrogen vehicles. The company expects hydrogen vehicles to compete with electric vehicles and has invested in wind powered plants that convert water to hydrogen.
The company is ranked 463rd on the Fortune Global 500 and 187th on the Forbes Global 2000."
Cincinnati Financial,"Cincinnati Financial Corporation offers property and casualty insurance, its main business, through The Cincinnati Insurance Company, The Cincinnati Indemnity Company and The Cincinnati Casualty Company. The company has 1.01% of the domestic property and casualty insurance premiums, which ranks it as the 20th largest insurance company by market share in the U.S.
The Cincinnati Insurance Company was founded in 1950 by four agents, including brothers John Jack Schiff and Robert Cleveland Schiff.
The Cincinnati Life Insurance Company markets life and disability income insurance and annuities. CFC Investment Company supports the insurance subsidiaries and their independent agent representatives through commercial leasing and financing activities. CinFin Capital Management Company provides asset management services to institutions, corporations and individuals.
In 2001, SFAS 133 adjustments were included with realized capital gains or losses rather than investment income. The impact on nine-month 2001 earnings was an after-tax gain of $1.3 million. Prior period 2001 results were restated on this basis.
In 2008, Cincinnati began writing excess and surplus lines insurance under a new subsidiary called the Cincinnati Specialty Underwriters Insurance Company.
MSP Underwriting, a global specialty underwriter, was acquired in February 2019, and was rebranded Cincinnati Global Underwriting Ltd. on May 1, 2019. Based in London, Cincinnati Global Underwriting Ltd. operates through Cincinnati Global Underwriting Agency Ltd., which is the Lloyd's managing agent for Cincinnati Global Syndicate 318. Collectively, the group is known as Cincinnati Global."
Align Technology,"Align Technology, Inc. is an American manufacturer of 3D digital scanners and Invisalign clear aligners used in orthodontics. It was founded in 1997 and is headquartered in Tempe, Arizona. The company manufactures the aligners in Juarez, Mexico, and its scanners in Israel and China. The company is best known for its Invisalign system, which is a clear aligner treatment used to straighten teeth."
Boeing,"The Boeing Company (or simply Boeing) () is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, and missiles worldwide. The company also provides leasing and product support services. Boeing is among the largest global aerospace manufacturers; it is the fourth-largest defense contractor in the world based on 2022 revenue and is the largest exporter in the United States by dollar value. Boeing was founded by William Boeing in Seattle, Washington, on July 15, 1916. The present corporation is the result of the merger of Boeing with McDonnell Douglas on August 1, 1997.
As of 2023, the Boeing Company's corporate headquarters is located in the Crystal City neighborhood of Arlington County, Virginia. The company is organized into three primary divisions: Boeing Commercial Airplanes (BCA), Boeing Defense, Space & Security (BDS) and Boeing Global Services (BGS). In 2021, Boeing recorded $62.3 billion in sales. Boeing is ranked 54th on the Fortune 500 list (2020), and ranked 121st on the Fortune Global 500 list (2020)."
WEC Energy Group,"WEC Energy Group is an American company based in Milwaukee, Wisconsin that provides electricity and natural gas to 4.4 million customers across four states."
APA Corporation,"APA Corporation is the holding company for Apache Corporation, an American company engaged in hydrocarbon exploration. It is organized in Delaware and headquartered in Houston. The company is ranked 431st on the Fortune 500."
Ecolab,"Ecolab Inc. is an American corporation headquartered in Saint Paul, Minnesota. It develops and offers services, technology and systems that specialize in treatment, purification, cleaning and hygiene of water in a wide variety of applications. It helps organizations, both in private as well as public markets, treat their water for drinking use and for use in food, healthcare, hospitality-related safety and industry. Founded as Economics Laboratory in 1923 by Merritt J. Osborn, it was eventually renamed ""Ecolab"" in 1986."
Brown–Forman,"Brown–Forman Corporation is an American-based company, one of the largest in the spirits and wine business. Based in Louisville, Kentucky, it manufactures several very well known brands throughout the world, including Jack Daniel's, Old Forester, Woodford Reserve, GlenDronach, BenRiach, Glenglassaugh, Herradura, Korbel, and Chambord. Brown–Forman formerly owned Southern Comfort and Tuaca before selling them off in 2016.
As of fiscal 2016 the company had sales of $3.08 billion. The roughly 40 members of the Brown family, cousins that are descendants of founder George Garvin Brown, control more than 70% of the voting shares and in 2016 had a net worth of $12.3 billion.
The company is a sponsor of the Brown–Forman Retailer of the Year awards given by the American Beverage Licensees."
Cintas,"Cintas Corporation () is an American corporation headquartered in Mason, Ohio which provides a range of products and services to businesses including uniforms, mats, mops, cleaning and restroom supplies, first aid and safety products, fire extinguishers and testing, and safety courses. Cintas is a publicly held company traded on the Nasdaq Global Select Market under the symbol CTAS and is a component of the Standard & Poor's 500 Index.
The company is one of the largest in the industry with 44,500 employees in 2023. In 2020, the company reported $7.09 billion in total revenue."
